postcode sector,households,number of postcode units
CO6  3,2582,269
CO6  4,2541,324
CO6  5,363,164
CO7  0,3899,300
CO7  6,2641,326
CO7  7,2297,340
CO7  8,2478,304
CO7  9,3483,290
CO8  5,1035,141
CO9  1,4236,346
CO9  2,2711,309
CO9  3,2471,241
CO9  4,1715,238
CR0  0,6685,261
CR0  1,4367,307
CR0  2,8444,365
CR0  3,6828,258
CR0  4,7069,361
CR0  5,4895,257
CR0  6,9704,318
CR0  7,6281,300
CR0  8,4972,272
CR0  9,4513,163
CR2  0,4437,301
CR2  6,4950,345
CR2  7,3780,252
CR2  8,4343,280
CR2  9,2736,198
CR3  0,1957,170
CR3  5,5135,387
CR3  6,4135,346
CR3  7,806,124
CR4  1,6428,351
CR4  2,5014,299
CR4  3,7139,377
CR4  4,3812,285
CR5  1,4338,286
CR5  2,3553,329
CR5  3,3449,334
CR6  9,4193,319
CR7  6,3100,191
CR7  7,6525,335
CR7  8,7036,368
CR8  1,1828,164
CR8  2,3554,280
CR8  3,1709,198
CR8  4,2319,168
CR8  5,3295,249
CT1  1,5173,390
CT1  2,2186,366
CT1  3,5165,387
CT10 1,3936,344
CT10 2,4773,364
CT10 3,3254,243
CT11 0,3478,235
CT11 7,3927,255
CT11 8,3276,253
CT11 9,3654,362
CT12 4,1957,152
CT12 5,1350,184
CT12 6,4879,298
CT13 0,2592,241
CT13 9,1633,272
CT14 0,1276,183
CT14 6,3032,313
CT14 7,4714,342
CT14 8,1454,144
CT14 9,6448,383
CT15 4,1543,169
CT15 5,1435,165
CT15 6,1501,133
CT15 7,1557,219
CT16 1,2039,341
CT16 2,4499,249
CT16 3,2388,228
CT17 0,5469,353
CT17 9,4373,325
CT18 7,4518,326
CT18 8,1408,184
CT19 4,3738,264
CT19 5,4404,345
CT19 6,4018,227
CT2  0,2535,221
CT2  7,3556,378
CT2  8,3295,242
CT2  9,1562,152
CT20 1,4130,346
CT20 2,4446,362
CT20 3,3490,346
CT21 4,1925,245
CT21 5,3197,332
CT21 6,3221,247
CT3  1,2603,348
CT3  2,1392,159
CT3  3,1798,189
CT3  4,1471,172
CT4  5,1812,253
CT4  6,2208,321
CT4  7,2290,265
CT4  8,842,118
CT5  1,3884,328
CT5  2,4035,287
CT5  3,2834,318
CT5  4,4816,323
CT6  5,3824,341
CT6  6,4347,322
CT6  7,5177,342
CT6  8,4014,290
CT7  0,2248,189
CT7  9,4006,291
CT8  8,3759,264
CT9  1,3824,345
CT9  2,5205,339
CT9  3,5033,331
CT9  4,1906,174
CT9  5,4811,307
CV1  1,217,225
CV1  2,2819,359
CV1  3,2331,226
CV1  4,3824,277
CV1  5,3490,316
CV10 0,5642,364
CV10 7,4733,283
CV10 8,5220,213
CV10 9,5828,317
CV11 4,5347,339
CV11 5,5140,304
CV11 6,6490,397
CV12 0,3877,213
CV12 8,4780,290
CV12 9,5388,249
CV13 0,2841,223
CV13 6,1799,174
CV2  1,5507,352
CV2  2,5359,357
CV2  3,5501,261
CV2  4,5967,327
CV2  5,5066,244
CV21 1,4193,376
CV21 2,3889,331
CV21 3,4679,352
CV21 4,3386,193
CV22 5,3708,249
CV22 6,4735,289
CV22 7,6361,373
CV23 0,3987,392
CV23 8,1939,368
CV23 9,2893,300
CV3  1,3708,266
CV3  2,6838,391
CV3  3,3847,179
CV3  4,2134,173
CV3  5,5863,284
CV3  6,5085,314
CV31 1,5137,395
CV31 2,4951,292
CV31 3,3088,276
CV32 4,1611,328
CV32 5,4252,388
CV32 6,3311,266
CV32 7,5959,322
CV33 9,2646,337
CV34 4,2866,279
CV34 5,6448,396
CV34 6,4912,388
CV35 0,2544,330
CV35 7,2238,252
CV35 8,2470,286
CV35 9,3375,317
CV36 4,3103,290
CV36 5,1374,192
CV37 0,2952,321
CV37 6,3961,381
CV37 7,3822,336
CV37 8,3118,387
CV37 9,5353,382
CV4  7,1714,146
CV4  8,3125,241
CV4  9,7572,396
CV47 0,976,99
CV47 1,1857,139
CV47 2,2141,265
CV47 7,336,43
CV47 8,1013,116
CV47 9,861,76
CV5  6,5642,361
CV5  7,5271,279
CV5  8,5471,255
CV5  9,4447,286
CV6  1,5865,265
CV6  2,5135,244
CV6  3,4308,182
CV6  4,5314,253
CV6  5,4872,354
CV6  6,4536,281
CV6  7,5076,251
CV7  7,4553,374
CV7  8,3677,287
CV7  9,3664,271
CV8  1,4999,365
CV8  2,6037,393
CV8  3,2937,235
CV9  1,2731,247
CV9  2,3908,276
CV9  3,2769,234
CW1  2,855,190
CW1  3,7667,393
CW1  4,4705,315
CW1  5,4343,287
CW1  6,533,237
CW10 0,3186,295
CW10 9,3078,265
CW11 1,3357,300
CW11 2,821,117
CW11 3,3019,323
CW11 4,2846,244
CW12 1,1941,350
CW12 2,2180,239
CW12 3,4307,333
CW12 4,4823,395
CW2  5,3595,342
CW2  6,4521,342
CW2  7,4167,261
CW2  8,5732,331
CW3  0,1249,147
CW3  9,2893,263
CW4  7,2603,239
CW4  8,1529,218
CW5  5,4130,363
CW5  6,3444,324
CW5  7,3996,316
CW5  8,1879,214
CW6  0,3028,354
CW6  9,2219,374
CW7  1,3874,285
CW7  2,4666,365
CW7  3,3922,305
CW7  4,841,103
CW8  1,3931,305
CW8  2,3985,395
CW8  3,3160,223
CW8  4,4583,390
CW9  5,1605,298
CW9  6,2476,263
CW9  7,4679,375
CW9  8,5642,395
DA1  1,4130,366
DA1  2,4966,332
DA1  3,4672,216
DA1  4,3735,313
DA1  5,4876,366
DA10 0,2904,174
DA11 0,3758,246
DA11 7,3657,231
DA11 8,4307,282
DA11 9,3962,256
DA12 1,2948,219
DA12 2,3792,286
DA12 3,1014,119
DA12 4,5716,265
DA12 5,5966,290
DA13 0,3685,305
DA13 9,2227,194
DA14 4,4307,270
DA14 5,1851,185
DA14 6,3570,281
DA15 7,2179,209
DA15 8,5907,309
DA15 9,3563,192
DA16 1,4805,256
DA16 2,5532,250
DA16 3,3661,240
DA17 5,4479,263
DA17 6,2676,204
DA18 4,2015,101
DA2  6,3970,287
DA2  7,4651,285
DA2  8,662,71
DA3  7,3299,225
DA3  8,3610,244
DA4  0,1395,136
DA4  9,2616,168
DA5  1,2934,241
DA5  2,2069,139
DA5  3,3453,201
DA6  7,1728,223
DA6  8,2365,192
DA7  4,5115,300
DA7  5,4804,246
DA7  6,4588,268
DA8  1,5490,332
DA8  2,4436,242
DA8  3,4134,248
DA9  9,6107,383
DE1  1,2659,376
DE1  2,1478,310
DE1  3,2924,325
DE11 0,6571,380
DE11 7,4194,238
DE11 8,2696,184
DE11 9,5604,322
DE12 6,3273,228
DE12 7,3881,284
DE12 8,1610,133
DE13 0,8102,387
DE13 7,1778,134
DE13 8,3482,277
DE13 9,4323,307
DE14 1,1340,298
DE14 2,5435,309
DE14 3,5864,383
DE15 0,4094,256
DE15 9,6492,330
DE21 2,4448,297
DE21 4,5578,331
DE21 5,1605,98
DE21 6,7479,382
DE21 7,5622,335
DE22 1,3045,193
DE22 2,6120,350
DE22 3,8266,381
DE22 4,3417,221
DE22 5,382,32
DE23 1,3457,173
DE23 2,1301,62
DE23 3,2124,172
DE23 4,1114,78
DE23 6,6985,376
DE23 8,7813,318
DE24 0,7035,329
DE24 1,580,15
DE24 3,2462,175
DE24 5,480,55
DE24 8,7209,387
DE24 9,5864,288
DE3  0,3546,224
DE3  9,3822,206
DE4  2,4323,295
DE4  3,5837,371
DE4  4,3267,246
DE4  5,2492,256
DE45 1,4375,363
DE5  3,6032,371
DE5  8,1630,98
DE5  9,2150,101
DE55 1,3066,164
DE55 2,3244,171
DE55 3,1641,95
DE55 4,3878,257
DE55 5,3623,213
DE55 6,3255,194
DE55 7,4399,293
DE56 0,5493,285
DE56 1,6253,390
DE56 2,4154,266
DE56 4,2289,159
DE6  1,5056,356
DE6  2,2450,184
DE6  3,1590,161
DE6  4,468,189
DE6  5,1677,262
DE65 5,4895,280
DE65 6,4668,303
DE7  4,5536,296
DE7  5,4576,320
DE7  6,4627,245
DE7  8,6335,395
DE7  9,1241,65
DE72 2,1833,131
DE72 3,7278,381
DE73 5,1794,110
DE73 6,2740,150
DE73 7,832,84
DE73 8,2733,196
DE74 2,5110,388
DE75 7,8094,384
DH1  1,4206,340
DH1  2,3867,333
DH1  3,1712,308
DH1  4,2835,313
DH1  5,6150,392
DH2  1,4755,300
DH2  2,4653,294
DH2  3,4351,271
DH3  1,3311,235
DH3  2,2439,230
DH3  3,3349,303
DH3  4,2815,209
DH4  4,3639,325
DH4  5,3105,208
DH4  6,3987,306
DH4  7,4023,259
DH5  0,3304,227
DH5  8,2603,187
DH5  9,3118,244
DH6  1,3161,220
DH6  2,4150,299
DH6  3,2582,220
DH6  4,3160,239
DH6  5,2266,199
DH7  0,2697,249
DH7  6,3879,295
DH7  7,3689,244
DH7  8,4706,322
DH7  9,4484,336
DH8  0,3122,269
DH8  5,3003,297
DH8  6,3184,259
DH8  7,4149,267
DH8  8,3151,222
DH8  9,1321,267
DH9  0,2276,256
DH9  6,4697,293
DH9  7,4022,293
DH9  8,3163,290
DH9  9,3122,282
DL1  1,2489,371
DL1  2,5418,348
DL1  3,3834,252
DL1  4,6447,369
DL1  5,3084,284
DL10 4,2592,336
DL10 5,1583,187
DL10 6,1232,222
DL10 7,2900,271
DL11 6,1378,225
DL11 7,1588,264
DL12 0,1356,243
DL12 8,3226,318
DL12 9,1277,262
DL13 1,848,210
DL13 2,1581,297
DL13 3,1507,188
DL13 4,1506,172
DL13 5,1666,199
DL14 0,2840,248
DL14 6,5331,324
DL14 7,2402,275
DL14 8,3269,302
DL14 9,3678,282
DL15 0,3986,298
DL15 8,2477,210
DL15 9,4105,296
DL16 6,5196,353
DL16 7,3949,337
DL17 0,2407,229
DL17 8,4355,237
DL17 9,1865,155
DL2  1,2516,310
DL2  2,3203,361
DL2  3,1888,264
DL3  0,6787,383
DL3  6,4588,277
DL3  7,2143,293
DL3  8,3386,262
DL3  9,4289,325
DL4  1,2430,190
DL4  2,2413,173
DL5  4,4143,312
DL5  5,2925,201
DL5  6,1757,360
DL5  7,4085,205
DL6  1,3915,250
DL6  2,1856,305
DL6  3,1298,230
DL7  0,1403,234
DL7  8,3612,347
DL7  9,1870,273
DL8  1,2059,310
DL8  2,2028,261
DL8  3,1869,232
DL8  4,1940,234
DL8  5,1864,245
DL9  3,1603,189
DL9  4,3040,318
DN1  1,156,260
DN1  2,3060,300
DN1  3,1223,257
DN10 4,2401,282
DN10 5,695,105
DN10 6,2377,285
DN11 0,5686,378
DN11 8,3627,280
DN11 9,3079,299
DN12 1,3394,211
DN12 2,2475,162
DN12 3,2578,199
DN12 4,2005,169
DN14 0,3064,359
DN14 5,3625,336
DN14 6,5631,336
DN14 7,3182,388
DN14 8,2109,261
DN14 9,2629,266
DN15 0,449,43
DN15 6,2433,249
DN15 7,3585,247
DN15 8,5071,334
DN15 9,4233,326
DN16 1,3969,268
DN16 2,4020,254
DN16 3,6055,347
DN17 1,5229,308
DN17 2,4904,306
DN17 3,3260,262
DN17 4,2794,245
DN18 5,4107,308
DN18 6,1315,123
DN19 7,2756,265
DN2  4,3315,264
DN2  5,3653,264
DN2  6,3479,185
DN20 0,2982,267
DN20 8,3141,307
DN20 9,2422,234
DN21 1,5423,391
DN21 2,3471,292
DN21 3,3236,290
DN21 4,2234,277
DN21 5,2643,309
DN22 0,1934,270
DN22 6,3519,303
DN22 7,6915,396
DN22 8,2116,266
DN22 9,1387,166
DN3  1,3664,275
DN3  2,5018,259
DN3  3,4460,317
DN31 1,1008,275
DN31 2,3682,298
DN31 3,177,234
DN32 0,2922,211
DN32 7,3746,242
DN32 8,3717,190
DN32 9,3765,273
DN33 1,2948,191
DN33 2,2211,187
DN33 3,3255,229
DN34 4,3839,256
DN34 5,4730,301
DN35 0,3884,276
DN35 7,5207,259
DN35 8,4029,265
DN35 9,2881,179
DN36 4,4997,390
DN36 5,3639,324
DN37 0,3493,309
DN37 7,1501,229
DN37 8,177,187
DN37 9,4263,270
DN38 6,1301,122
DN39 6,1276,137
DN4  0,4786,311
DN4  5,2350,251
DN4  6,5122,345
DN4  7,3383,248
DN4  8,3382,269
DN4  9,4581,235
DN40 1,2400,213
DN40 2,1854,208
DN40 3,1208,177
DN41 7,1178,108
DN41 8,1571,164
DN5  0,4373,281
DN5  7,3762,339
DN5  8,4668,294
DN5  9,4805,255
DN6  0,2673,227
DN6  7,4374,307
DN6  8,3807,229
DN6  9,2374,227
DN7  4,3437,209
DN7  5,3101,264
DN7  6,3090,282
DN8  4,4143,263
DN8  5,3359,306
DN9  1,3826,342
DN9  2,2169,219
DN9  3,2623,285
DT1  1,3163,382
DT1  2,4557,300
DT1  3,1281,208
DT10 1,2886,242
DT10 2,2609,275
DT11 0,2978,290
DT11 7,4717,358
DT11 8,2971,340
DT11 9,2105,231
DT2  0,1780,220
DT2  7,2717,327
DT2  8,3680,383
DT2  9,3609,345
DT3  4,2616,215
DT3  5,4077,272
DT3  6,4339,296
DT4  0,5760,303
DT4  7,4172,312
DT4  8,2811,335
DT4  9,5442,363
DT5  1,2813,209
DT5  2,2797,178
DT6  3,3378,346
DT6  4,3304,267
DT6  5,2918,252
DT6  6,2187,257
DT7  3,3457,337
DT8  3,3107,270
DT9  3,1719,261
DT9  4,2642,278
DT9  5,2319,242
DT9  6,3039,262
DY1  1,399,211
DY1  2,6120,302
DY1  3,4425,257
DY1  4,2315,208
DY10 1,3336,305
DY10 2,4922,356
DY10 3,4711,336
DY10 4,3141,313
DY11 5,4314,314
DY11 6,5778,345
DY11 7,3258,282
DY12 1,2495,259
DY12 2,3158,298
DY12 3,634,117
DY13 0,3297,227
DY13 8,4058,318
DY13 9,3092,285
DY14 0,781,181
DY14 8,1604,243
DY14 9,1273,263
DY2  0,4516,293
DY2  7,3029,219
DY2  8,2815,236
DY2  9,3771,229
DY3  1,4108,269
DY3  2,5163,292
DY3  3,4814,273
DY3  4,770,97
DY4  0,5742,320
DY4  7,4169,320
DY4  8,4719,328
DY4  9,3412,250
DY5  1,2748,266
DY5  2,5937,356
DY5  3,5391,370
DY5  4,3649,205
DY6  0,1722,117
DY6  7,1755,305
DY6  8,4557,298
DY6  9,3650,269
DY7  5,904,178
DY7  6,2726,264
DY8  1,2633,336
DY8  2,2571,211
DY8  3,5580,319
DY8  4,6064,357
DY8  5,5567,317
DY9  0,4582,382
DY9  7,2291,189
DY9  8,2367,271
DY9  9,3452,260
E1   0,3962,248
E1   1,2567,305
E1   2,2895,279
E1   3,2704,219
E1   4,5070,369
E1   5,4085,267
E1   6,2133,333
E1   7,1302,218
E1   8,2203,383
E10  5,5460,369
E10  6,5755,331
E10  7,4422,314
E11  1,4977,354
E11  2,5103,322
E11  3,6359,320
E11  4,5602,385
E12  5,5658,305
E12  6,7364,346
E13  0,6303,295
E13  8,4927,297
E13  9,4777,279
E14  0,3756,329
E14  2,840,45
E14  3,7819,395
E14  4,337,111
E14  5,348,216
E14  6,4640,330
E14  7,4869,357
E14  8,5802,347
E14  9,8502,398
E15  1,5335,359
E15  2,4649,390
E15  3,5190,263
E15  4,4732,334
E16  1,5197,378
E16  2,3928,378
E16  3,5111,302
E16  4,3578,233
E17  3,4865,310
E17  4,6099,356
E17  5,6329,330
E17  6,6708,395
E17  7,4267,307
E17  8,5791,307
E17  9,5166,349
E18  1,3328,282
E18  2,5407,323
E1W  1,1533,173
E1W  2,2179,208
E1W  3,2819,221
E2   0,4635,316
E2   6,3848,259
E2   7,3956,276
E2   8,3363,320
E2   9,3442,291
E3   2,6445,395
E3   3,3937,371
E3   4,5528,373
E3   5,5132,342
E4   6,7083,367
E4   7,4961,342
E4   8,5472,328
E4   9,6801,365
E5   0,6862,355
E5   8,6903,361
E5   9,5999,347
E6   1,4960,258
E6   2,5132,280
E6   3,6518,321
E6   5,4114,262
E6   6,3969,211
E7   0,4955,291
E7   8,5739,308
E7   9,5782,344
E8   1,3900,254
E8   2,4464,268
E8   3,4713,345
E8   4,4559,311
E9   5,5195,345
E9   6,4951,295
E9   7,5864,338
EC1A 4,140,86
EC1A 7,336,127
EC1A 9,329,158
EC1M 3,226,70
EC1M 5,627,143
EC1M 6,252,142
EC1M 7,103,22
EC1N 7,993,86
EC1N 8,336,289
EC1R 0,685,177
EC1R 1,547,60
EC1R 3,175,100
EC1R 4,798,140
EC1R 5,439,103
EC1V 0,1085,136
EC1V 1,135,103
EC1V 2,65,103
EC1V 3,1328,125
EC1V 4,799,126
EC1V 7,1327,168
EC1V 8,854,74
EC1V 9,862,211
EC1Y 0,722,90
EC1Y 2,241,56
EC1Y 4,127,64
EC1Y 8,995,192
EC2A 3,307,247
EC2A 4,449,295
EC2Y 8,2210,121
EC3R 8,226,99
EC4A 1,164,159
EC4V 3,383,119
EC4V 5,237,98
EC4Y 7,334,65
EN1  1,4868,382
EN1  2,3039,260
EN1  3,4811,359
EN1  4,5271,304
EN10 6,4617,308
EN10 7,2426,271
EN11 0,2664,284
EN11 8,3282,327
EN11 9,3162,237
EN2  0,4199,260
EN2  6,1930,266
EN2  7,3099,269
EN2  8,3256,280
EN2  9,652,112
EN3  4,4415,352
EN3  5,5847,329
EN3  6,7474,393
EN3  7,3735,365
EN4  0,1897,233
EN4  8,4937,357
EN4  9,3386,302
EN5  1,2796,310
EN5  2,5491,346
EN5  3,1460,169
EN5  4,2302,271
EN5  5,3958,373
EN6  1,2837,319
EN6  2,2903,257
EN6  3,2163,226
EN6  4,2230,258
EN6  5,2205,228
EN7  5,2920,245
EN7  6,5577,364
EN8  0,4131,289
EN8  7,3160,332
EN8  8,4819,323
EN8  9,3571,313
EN9  1,3616,325
EN9  2,2084,216
EN9  3,4833,327
EX1  1,831,347
EX1  2,4016,326
EX1  3,4670,390
EX10 0,2156,247
EX10 8,2272,315
EX10 9,4559,339
EX11 1,3513,394
EX12 2,4089,358
EX12 3,1148,171
EX12 4,266,42
EX13 5,3411,347
EX13 7,1844,274
EX13 8,284,54
EX14 1,3007,267
EX14 2,2493,156
EX14 3,1627,230
EX14 4,1163,159
EX14 9,1351,275
EX15 1,3753,378
EX15 2,2469,284
EX15 3,2905,319
EX16 4,2651,229
EX16 5,2218,205
EX16 6,4346,355
EX16 7,1832,248
EX16 8,1725,226
EX16 9,1596,231
EX17 1,964,116
EX17 2,1036,92
EX17 3,1963,231
EX17 4,1332,239
EX17 5,1383,185
EX17 6,1843,254
EX18 7,1524,222
EX19 8,1725,252
EX2  4,3176,303
EX2  5,3795,312
EX2  6,2311,172
EX2  7,2220,349
EX2  8,3613,395
EX2  9,3223,303
EX20 1,3693,361
EX20 2,2090,302
EX20 3,2007,273
EX20 4,1433,218
EX21 5,2059,312
EX22 6,2758,335
EX22 7,2158,317
EX23 0,1834,202
EX23 8,3743,326
EX23 9,2567,270
EX24 6,1890,240
EX3  0,2586,261
EX31 1,1874,302
EX31 2,2820,216
EX31 3,3640,375
EX31 4,2987,307
EX32 0,2269,289
EX32 7,3092,233
EX32 8,2898,254
EX32 9,2339,174
EX33 1,3025,221
EX33 2,2197,199
EX34 0,1395,180
EX34 7,1210,113
EX34 8,3053,234
EX34 9,3364,297
EX35 6,1003,152
EX36 3,1813,222
EX36 4,2182,232
EX37 9,1585,219
EX38 7,1916,147
EX38 8,1766,215
EX39 1,5339,356
EX39 2,2093,219
EX39 3,4031,279
EX39 4,3233,252
EX39 5,2859,302
EX39 6,1028,113
EX4  0,127,26
EX4  1,4027,261
EX4  2,3373,229
EX4  3,1265,312
EX4  4,3040,344
EX4  5,1370,115
EX4  6,2742,308
EX4  7,2167,138
EX4  8,2598,245
EX4  9,1649,117
EX5  1,1604,247
EX5  2,2000,324
EX5  3,964,157
EX5  4,2248,230
EX5  5,1286,190
EX6  6,1362,207
EX6  7,1845,318
EX6  8,3112,332
EX7  0,2688,308
EX7  9,3506,285
EX8  1,3802,304
EX8  2,3912,307
EX8  3,2559,185
EX8  4,4254,281
EX8  5,2873,276
EX9  6,2764,263
EX9  7,816,130
FY1  1,205,236
FY1  2,4096,255
FY1  3,2408,269
FY1  4,3543,263
FY1  5,3194,233
FY1  6,4060,253
FY2  0,6965,390
FY2  9,4800,303
FY3  0,798,79
FY3  7,5139,334
FY3  8,4506,269
FY3  9,4617,345
FY4  1,4234,287
FY4  2,3490,249
FY4  3,4849,234
FY4  4,5794,384
FY4  5,2386,270
FY5  1,4052,263
FY5  2,5692,362
FY5  3,5510,358
FY5  4,3730,251
FY5  5,2499,215
FY6  0,3461,245
FY6  7,6012,385
FY6  8,2587,203
FY6  9,1223,97
FY7  6,3834,331
FY7  7,3934,214
FY7  8,4319,304
FY8  1,5246,375
FY8  2,4778,318
FY8  3,4994,346
FY8  4,5073,327
FY8  5,3171,291
GL1  1,1378,326
GL1  2,2131,310
GL1  3,2960,232
GL1  4,5037,314
GL1  5,4474,292
GL10 2,2925,203
GL10 3,3078,348
GL11 4,2807,226
GL11 5,3540,326
GL11 6,1689,161
GL12 7,2786,246
GL12 8,3067,311
GL13 9,2591,278
GL14 1,1597,185
GL14 2,3712,321
GL14 3,1681,176
GL15 4,2198,273
GL15 5,3899,310
GL15 6,3206,323
GL16 7,3122,251
GL16 8,2926,263
GL17 0,1937,394
GL17 9,3001,304
GL18 1,2750,288
GL18 2,652,74
GL19 3,2570,245
GL19 4,1403,192
GL2  0,4990,299
GL2  2,1787,171
GL2  3,207,27
GL2  4,6611,358
GL2  5,1641,222
GL2  7,1918,192
GL2  8,1518,195
GL2  9,2923,272
GL20 5,3659,337
GL20 6,1181,137
GL20 7,3151,293
GL20 8,4614,334
GL3  1,2561,199
GL3  2,3314,256
GL3  3,3955,283
GL3  4,3694,377
GL4  0,5335,339
GL4  3,1399,203
GL4  4,4277,258
GL4  5,3565,192
GL4  6,4621,289
GL4  8,1116,143
GL5  1,3631,314
GL5  2,2156,279
GL5  3,1935,254
GL5  4,4625,302
GL5  5,1643,200
GL50 1,730,292
GL50 2,4589,351
GL50 3,2125,310
GL50 4,3793,287
GL51 0,5397,372
GL51 3,4555,290
GL51 4,1107,86
GL51 6,3504,304
GL51 7,2902,278
GL51 8,2952,212
GL51 9,2512,298
GL52 2,2774,293
GL52 3,2533,229
GL52 5,3767,251
GL52 6,4429,355
GL52 7,648,77
GL52 8,4385,339
GL52 9,1672,124
GL53 0,1829,224
GL53 7,2774,275
GL53 8,2265,209
GL53 9,1826,211
GL54 1,1724,200
GL54 2,2713,320
GL54 3,1852,243
GL54 4,1341,174
GL54 5,3560,373
GL55 6,2822,349
GL56 0,2785,393
GL56 9,1736,265
GL6  0,2868,270
GL6  6,1915,315
GL6  7,1822,208
GL6  8,2847,267
GL6  9,1731,155
GL7  1,6414,395
GL7  2,2372,240
GL7  3,2291,277
GL7  4,1923,224
GL7  5,3482,357
GL7  6,2143,239
GL7  7,968,143
GL8  8,3974,388
GL9  1,1131,126
GU1  1,4461,384
GU1  2,3812,381
GU1  3,2393,363
GU1  4,2536,385
GU10 1,1980,254
GU10 2,1147,200
GU10 3,1687,219
GU10 4,2691,303
GU10 5,1510,261
GU11 1,2711,354
GU11 2,1181,196
GU11 3,5262,354
GU12 4,5951,380
GU12 5,3402,282
GU12 6,3926,306
GU14 0,3278,277
GU14 6,4133,386
GU14 7,2691,354
GU14 8,6229,351
GU14 9,5935,371
GU15 1,3834,343
GU15 2,3817,372
GU15 3,2945,393
GU15 4,3059,385
GU16 6,4129,340
GU16 7,823,150
GU16 8,2995,183
GU16 9,1459,110
GU17 0,2684,227
GU17 9,1584,198
GU18 5,2848,237
GU19 5,2409,257
GU2  4,1371,143
GU2  7,2786,288
GU2  8,3274,205
GU2  9,4805,292
GU20 6,1896,237
GU21 2,4638,345
GU21 3,4717,251
GU21 4,3815,364
GU21 5,3169,341
GU21 6,1190,166
GU21 7,926,85
GU21 8,1742,98
GU22 0,2771,278
GU22 7,4232,394
GU22 8,3595,318
GU22 9,3163,264
GU23 6,1616,240
GU23 7,1172,141
GU24 0,1698,203
GU24 8,1886,286
GU24 9,3063,313
GU25 4,2357,315
GU26 6,3135,365
GU27 1,2960,264
GU27 2,2237,248
GU27 3,2437,306
GU28 0,1842,248
GU28 9,1283,182
GU29 0,1588,227
GU29 9,2988,330
GU3  1,937,151
GU3  2,1110,123
GU3  3,2569,272
GU30 7,4038,391
GU31 4,3361,292
GU31 5,1652,251
GU32 1,1401,244
GU32 2,1473,140
GU32 3,2286,254
GU33 6,804,158
GU33 7,2659,274
GU34 1,2978,346
GU34 2,4337,360
GU34 3,1109,235
GU34 4,1605,229
GU34 5,2736,333
GU35 0,4503,389
GU35 8,2400,249
GU35 9,2653,267
GU4  7,4622,393
GU4  8,2222,261
GU46 6,4480,301
GU46 7,1431,142
GU47 0,4273,255
GU47 8,1702,143
GU47 9,1636,105
GU5  0,2940,321
GU5  9,1826,256
GU51 1,1871,155
GU51 2,1076,122
GU51 3,3699,329
GU51 4,1701,216
GU51 5,1320,141
GU52 0,1013,70
GU52 6,3107,214
GU52 7,1282,107
GU52 8,1023,136
GU6  7,3562,326
GU6  8,2731,387
GU7  1,3263,390
GU7  2,2707,292
GU7  3,3635,300
GU8  4,2345,335
GU8  5,3321,333
GU8  6,1638,194
GU9  0,3069,250
GU9  7,2512,373
GU9  8,4068,358
GU9  9,3223,286
HA0  1,3210,389
HA0  2,4399,368
HA0  3,3710,301
HA0  4,4041,361
HA1  1,2950,372
HA1  2,2988,383
HA1  3,4049,383
HA1  4,5055,387
HA2  0,4201,375
HA2  6,3016,212
HA2  7,2705,234
HA2  8,4655,332
HA2  9,5095,316
HA3  0,3690,337
HA3  5,3703,310
HA3  6,3312,283
HA3  7,4316,305
HA3  8,3705,353
HA3  9,4882,315
HA4  0,3648,354
HA4  6,4385,296
HA4  7,4326,352
HA4  8,3513,326
HA4  9,4245,303
HA5  1,3445,308
HA5  2,3787,299
HA5  3,4376,386
HA5  4,3443,337
HA5  5,3070,290
HA6  1,3733,285
HA6  2,3514,396
HA6  3,2159,290
HA7  1,2701,271
HA7  2,4032,275
HA7  3,3204,361
HA7  4,3591,394
HA8  0,4165,295
HA8  5,3896,324
HA8  6,3919,300
HA8  7,1948,353
HA8  8,5345,393
HA8  9,4272,368
HA9  0,1175,371
HA9  6,3256,295
HA9  7,3022,340
HA9  8,4447,358
HA9  9,4308,381
HD1  1,215,271
HD1  3,2742,300
HD1  4,3929,272
HD1  5,1292,176
HD1  6,1380,219
HD2  1,7019,390
HD2  2,5564,369
HD3  3,6877,397
HD3  4,6841,393
HD4  5,5234,295
HD4  6,4972,306
HD4  7,3617,259
HD5  0,2293,220
HD5  8,6341,341
HD5  9,5463,303
HD6  1,1422,294
HD6  2,3552,243
HD6  3,5518,337
HD6  4,2299,175
HD7  4,3724,239
HD7  5,4526,339
HD7  6,2094,154
HD8  0,4621,373
HD8  8,5096,385
HD8  9,4595,377
HD9  1,3212,237
HD9  2,1932,218
HD9  3,1711,162
HD9  4,1761,134
HD9  5,1985,144
HD9  6,2891,243
HD9  7,2161,206
HG1  1,726,276
HG1  2,3561,327
HG1  3,3240,169
HG1  4,5653,325
HG1  5,3117,309
HG2  0,4006,261
HG2  7,4875,298
HG2  8,3672,267
HG2  9,2382,206
HG3  1,2258,354
HG3  2,4793,396
HG3  3,1957,295
HG3  4,957,141
HG3  5,1728,250
HG4  1,3785,339
HG4  2,3581,268
HG4  3,1871,269
HG4  4,1220,170
HG4  5,1121,187
HG5  0,3946,342
HG5  8,2265,274
HG5  9,1902,193
HP1  1,3800,364
HP1  2,3692,277
HP1  3,3352,268
HP10 0,2335,255
HP10 8,2177,238
HP10 9,3386,349
HP11 1,3265,373
HP11 2,2081,358
HP12 3,4502,386
HP12 4,4240,358
HP13 5,5571,389
HP13 6,4384,388
HP13 7,7410,393
HP14 3,3983,393
HP14 4,3350,332
